ts	qid	tag	query	limit	http	total_hits	n_hits	bales_frags	err
2026-09-14T06:45:18Z	q0001	probe	"Kate the barn is afire" OR "loosened them as quick as I could" OR "could not be got out of a fire" OR "keeper of the crib" OR "Steamer Little Giant" OR "Behind the Conclusions"	20	200	0	0	0	
2026-09-14T06:45:32Z	q0002	probe	"Kate the barn is afire" "loosened them as quick as I could"	20	200	2	2	5	
2026-09-14T06:45:40Z	q0003	probe	"Kate the barn is afire" | "loosened them as quick as I could"	20	200	0	0	0	
2026-09-14T06:45:46Z	q0004	probe	"Kate the barn is afire" zzzzqqqx	20	200	0	0	0	
2026-09-14T06:48:41Z	q0005	probe	"Kate the barn is afire" OR "loosened them as quick as I could"	20	200	2	2	5	
2026-09-14T06:48:47Z	q0006	probe	"keeper of the crib"	20	200	12	12	1	
2026-09-14T06:48:58Z	q0007	probe	"sitting on the sidewalk"	20	200	6197	20	0	
2026-09-14T06:50:34Z	q0008	probe	"loosened them as quick as I could" "Kate the barn is afire"	20	200	2	2	5	<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)>
2026-09-14T06:50:43Z	q0009	probe	"loosened them as quick as I could" "Behind the Conclusions"	20	200	1	1	5	
2026-09-14T06:50:50Z	q0010	probe	"loosened them as quick as I could" "Behind the Conclusions" "keeper of the crib" "Steamer Little Giant"	20	200	1	1	5	
2026-09-14T06:54:03Z	q0011	probe	"Kate the barn is afire" "loosened them as quick as I could" "could not be got out of a fire" "keeper of the crib" "Steamer Little Giant"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T06:54:09Z	q0012	probe	"Kate the barn is afire" "loosened them as quick as I could" "could not be got out of a fire" "keeper of the crib" "Steamer Little Giant" "Behind the Conclusions"	10	200	1	1	5	
2026-09-14T06:54:16Z	q0013	probe	loosen*	10	200	732890	10	0	
2026-09-14T06:54:25Z	q0014	probe	"witness) Examination by"	10	200	47	10	3	
2026-09-14T06:54:31Z	q0015	probe	"sworn November 25, 1871"	10	200	1	1	1	
2026-09-14T06:54:43Z	q0016	probe	"Examination by Mr. Chadwick"	10	200	1	1	1	
2026-09-14T06:54:56Z	q0017	probe	"12th witness"	10	200	38	10	0	
2026-09-14T06:56:39Z	q0018	heading	"Sullivan sworn"	10	200	72	10	0	
2026-09-14T06:56:56Z	q0019	heading	"Rau sworn"	10	200	0	0	0	
2026-09-14T06:57:23Z	q0020	heading	"Musham sworn"	10	200	0	0	0	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T06:57:41Z	q0021	heading	"Conway sworn"	10	200	33	10	0	
2026-09-14T06:57:55Z	q0022	heading	"Schaefer sworn"	10	200	3	3	0	
2026-09-14T06:58:10Z	q0023	heading	"Schimmals sworn"	10	200	0	0	0	
2026-09-14T06:58:19Z	q0024	heading	"14th witness"	10	200	44	10	0	
2026-09-14T06:58:24Z	q0027	heading	"2nd witness"	10	200	231	10	0	
2026-09-14T06:58:25Z	q0026	chain	"myself and my husband" "do you live? DeKoven" "do you live? A" "do you live? A" "operator at the courthouse"	10	200	1	1	5	
2026-09-14T06:58:31Z	q0025	ordinal	"14th witness" "loosened them as quick as I could"	10	200	1	1	2	
2026-09-14T06:58:34Z	q0028	heading	"Daniel Sullivan" "November 25, 1871" "14th"	10	200	11	10	5	
2026-09-14T06:58:41Z	q0030	ordinal	"2nd witness" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T06:58:50Z	q0031	ordinal	"3rd witness" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T06:58:59Z	q0032	ordinal	"4th witness" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T06:59:03Z	q0029	chain	"207 #22—John Tolland, keeper" "226 CATHARINE MCLAUGHLIN 228" "loosened them as quick as I could"	10	200	1	1	3	<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)>
2026-09-14T06:59:06Z	q0033	ordinal	"6th witness" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T06:59:13Z	q0035	ordinal	"7th witness" "loosened them as quick as I could"	10	200	1	1	2	
2026-09-14T06:59:20Z	q0036	ordinal	"9th witness" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T06:59:27Z	q0037	ordinal	"10th witness" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T06:59:36Z	q0038	ordinal	"11th witness" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T06:59:44Z	q0039	ordinal	"15th witness" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T06:59:51Z	q0040	ordinal	"16th witness" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T06:59:56Z	q0041	ordinal	"17th witness" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T07:00:02Z	q0042	ordinal	"18th witness" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T07:00:09Z	q0043	ordinal	"19th witness" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T07:00:16Z	q0044	ordinal	"20th witness" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T07:00:42Z	q0034	chain	"in bed myself and my husband" "Where do you live" "Where do you live" "Where do you live" "on oath, declares that"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:01:48Z	q0046	B	sidewalk "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:01:55Z	q0048	B	"in front of White" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T07:02:06Z	q0049	B	"one hundred and ninety" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T07:02:09Z	q0047	chain	"Brown? Q. Where do you live" "A. 134 DeKoven Street" "do you live? DeKoven" "xi Xii Table of" "witness Q. Where do you live? A"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:02:24Z	q0050	B	"line of sight" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:02:55Z	q0051	chain	"commissioners Q. Where do you live? A" "myself and my husband" "tun- nel, Tuesday, November" "the central office at"	10	200	1	1	5	
2026-09-14T07:03:38Z	q0052	B	obstructed "loosened them as quick as I could"	10	500	-1	0	0	HTTP Error 500: Internal Server Error parse:Expecting value: line 1 column 1 (char 0)
2026-09-14T07:04:15Z	q0054	B	blocked Sullivan "loosened them as quick as I could"	10	200	2	2	5	
2026-09-14T07:04:39Z	q0055	chain	"side of DeKoven Street" "DeKoven Street.! Q. What is your" "What is your business" "SULLIVAN MICHAEL C. HICKEY"	10	200	1	1	5	
2026-09-14T07:04:55Z	q0056	B	"Lot 19" "loosened them as quick as I could"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:05:17Z	q0058	B	"Lot 18" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:05:26Z	q0059	B	"Lot 12" "loosened them as quick as I could"	10	200	1	1	3	
2026-09-14T07:05:27Z	q0057	chain	"witness Q. Where do you live? A" "commissioners Q. Where do you live? A" "when this fire commenced" "E. Fuller, night operator"	10	200	1	1	5	
2026-09-14T07:05:32Z	q0061	chain	"Sunday evening, October 8" "loosened them as quick as I could"	10	200	1	1	3	
